"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"PBE1620FF2Lou01";"Pays-Bas espagnols (XVIIᵉ s)";"Anvers";"Pays-Bas espagnols (XVIIᵉ s)";0;"Anvers";0
"PBE1630JB2Bes01";"Pays-Bas espagnols (XVIIᵉ s)";"Anvers";"Pays-Bas espagnols (XVIIᵉ s)";0;"Anvers";0
"SEm1516AAlBud01";"Pays germaniques";"Ratisbonne";"Pays germaniques";0;"Ratisbonne";0
"PBa1516JvCLou01";"Pays-Bas (XVIᵉ s)";"Anvers";"Pays-Bas (XVIᵉ s)";0;"Anvers";0
"SEm1500MSBNG01";"Pays germaniques";"Cologne";"Pays germaniques";0;"Cologne";0
"SEm1505MSBNG02";"Pays germaniques";"Cologne";"Pays germaniques";0;"Cologne";0
"Ang1528HolJLou01";"Angleterre";"Londres";"Angleterre";0;"Londres";0
"Ang1528HolJLou02";"Angleterre";"Londres";"Angleterre";0;"Londres";0
"Fra1530AnoBvSE01";"Royaume de France";;"Royaume de France";0;"Ville inconnue (Royaume de France)";0
"Fra1510AnoBvSE01";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1510AnoBvSE02";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1510AnoBvSE03";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1510AnoBvSE04";"Royaume de France";"Beauvais";"Royaume de France";0;"Beauvais";0
"Fra1550AnoArras";"Royaume de France";"Arras";"Royaume de France";0;"Arras";0
"Fra1490BeugMMB";"Royaume de France";"Amiens";"Royaume de France";0;"Amiens";0
"PBa1501BosPra";"Pays-Bas (XVIᵉ s)";"Bois-le-Duc";"Pays-Bas (XVIᵉ s)";0;"Bois-le-Duc";0
"SEm1512MSBatNG";"Pays germaniques";"Cologne";"Pays germaniques";0;"Cologne";0
"SEm1506LCaNG01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
