"dcterms:identifier";"dcterms:spatial";"aorum:dateHidden";"aorum:spatialharmonise";"aorum:spatialincertitude"
"PBE1620FF2Lou01";"Pays-Bas espagnols (XVIIᵉ s)";"1610/1630";"Pays-Bas espagnols (XVIIᵉ s)";0
"PBE1630JB2Bes01";"Pays-Bas espagnols (XVIIᵉ s)";"1620/1640";"Pays-Bas espagnols (XVIIᵉ s)";0
"SEm1516AAlBud01";"Pays germaniques";"1516/1518";"Pays germaniques";0
"PBa1516JvCLou01";"Pays-Bas (XVIᵉ s)";"1516/1518";"Pays-Bas (XVIᵉ s)";0
"SEm1500MSBNG01";"Pays germaniques";"1475/1510";"Pays germaniques";0
"SEm1505MSBNG02";"Pays germaniques";"1500/1520";"Pays germaniques";0
"Ang1528HolJLou01";"Angleterre";"1528/1528";"Angleterre";0
"Ang1528HolJLou02";"Angleterre";"1528/1528";"Angleterre";0
"Fra1530AnoBvSE01";"Royaume de France";"1520/1540";"Royaume de France";0
"Fra1510AnoBvSE01";"Royaume de France";"1500/1520";"Royaume de France";0
"Fra1510AnoBvSE02";"Royaume de France";"1500/1520";"Royaume de France";0
"Fra1510AnoBvSE03";"Royaume de France";"1500/1520";"Royaume de France";0
"Fra1510AnoBvSE04";"Royaume de France";"1500/1520";"Royaume de France";0
"Fra1550AnoArras";"Royaume de France";"1525/1575";"Royaume de France";0
"Fra1490BeugMMB";"Royaume de France";"1480/1525";"Royaume de France";0
"PBa1501BosPra";"Pays-Bas (XVIᵉ s)";"1501/1505";"Pays-Bas (XVIᵉ s)";0
"SEm1512MSBatNG";"Pays germaniques";"1511/1513";"Pays germaniques";0
"SEm1506LCaNG01";"Pays germaniques";"1506/1506";"Pays germaniques";0
"SEm1506LCaNG02";"Pays germaniques";"1506/1506";"Pays germaniques";0
"SEm1530AnoNG01";"Pays germaniques";"1520/1550";"Pays germaniques";0
"PBa1506QMetNG01";"Pays-Bas (XVIᵉ s)";"1506/1509";"Pays-Bas (XVIᵉ s)";0
"PBa1510QMetNG01";"Pays-Bas (XVIᵉ s)";"1510/1530";"Pays-Bas (XVIᵉ s)";0
"PBa1510QMetNG02";"Pays-Bas (XVIᵉ s)";"1510/1530";"Pays-Bas (XVIᵉ s)";0
"PBa1515GDNG01";"Pays-Bas (XVIᵉ s)";"1510/1520";"Pays-Bas (XVIᵉ s)";0
"PBa1515GDNG02";"Pays-Bas (XVIᵉ s)";"1515/1523";"Pays-Bas (XVIᵉ s)";0
"SEm1525HWertNG01";"Pays germaniques";"1520/1530";"Pays germaniques";0
"Ang1533HHJNG";"Angleterre";"1533/1533";"Angleterre";0
"SEm1529BaegNG01";"Pays germaniques";"1510/1530";"Pays germaniques";0
"SEm1529BaegNG02";"Pays germaniques";"1510/1530";"Pays germaniques";0
"SEm1514HBGNG01";"Pays germaniques";"1514/1514";"Pays germaniques";0
"SEm1512HBGNG02";"Pays germaniques";"1512/1512";"Pays germaniques";0
"PBa1520JMNG";"Pays-Bas (XVIᵉ s)";"1510/1530";"Pays-Bas (XVIᵉ s)";0
"PBa1520JBellNG";"Pays-Bas (XVIᵉ s)";"1510/1530";"Pays-Bas (XVIᵉ s)";0
"PBa1550MFPNG";"Pays-Bas (XVIᵉ s)";"1525/1575";"Pays-Bas (XVIᵉ s)";0
"Ita1501AmBNG01";"Péninsule italienne";"1500/1502";"Péninsule italienne";0
"Ita1501AmBNG02";"Péninsule italienne";"1500/1502";"Péninsule italienne";0
"Ita1500SBottNG";"Péninsule italienne";"1500/1500";"Péninsule italienne";0
"Ita1500BottNG01";"Péninsule italienne";"1475/1525";"Péninsule italienne";0
"Ita1500BottNG02";"Péninsule italienne";"1475/1525";"Péninsule italienne";0
