"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"SEm1516AAlBud01";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"PBa1516JvCLou01";"Fond d'or";;;"Pays-Bas (XVIᵉ s)";;0;"Pays-Bas (XVIᵉ s)";0
"SEm1500MSBNG01";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1505MSBNG02";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Ang1528HolJLou01";"Parure";"Bijou";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1528HolJLou02";"Objet";"Orfèvrerie";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1528HolJLou02";"Vêtement";"Brocart";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1528HolJLou02";"Attribut";"Attribut clérical";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"PBa1501BosPra";"Inscription";"Chrysographie";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"SEm1530AnoNG01";"Parure";"Bijou";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"PBa1506QMetNG01";"Décor";"Mobilier";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1506QMetNG01";"Attribut religieux";"Nimbe";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1506QMetNG01";"Objet";"Livre";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1510QMetNG01";"Fond d'or";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1510QMetNG02";"Fond d'or";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1515GDNG01";"Attribut religieux";"Nimbe";"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"PBa1515GDNG02";"Attribut religieux";"Nimbe";"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"SEm1525HWertNG01";"Ornements";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Ang1533HHJNG";"Parure";"Bijou";"Mixtion";"Angleterre";"Mixtion";0;"Angleterre";0
"Ang1533HHJNG";"Vêtement";;"Mixtion";"Angleterre";"Mixtion";0;"Angleterre";0
"Ang1533HHJNG";"Attribut";"Regalia";"Mixtion";"Angleterre";"Mixtion";0;"Angleterre";0
"SEm1514HBGNG01";"Parure";"Bijou";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"PBa1520JMNG";"Fond d'or";;"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520JMNG";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520JBellNG";"Fond d'or";;"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"PBa1550MFPNG";"Attribut religieux";"Nimbe";"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"Ita1501AmBNG01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG01";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG01";"Décor";"Architecture";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Vêtement";;"Mixtion (?) ";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Vêtement";;"Coquille (?) ";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Décor";"Architecture";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Objet";"Orfèvrerie";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500SBottNG";"Autre";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500SBottNG";"Autre";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500BottNG01";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Accessoire";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Ornements";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Objet";"Orfèvrerie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Attribut";"Attribut clérical";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG02";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG02";"Vêtement";"Orfroi";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG02";"Objet";"Orfèvrerie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG01";"Vêtement";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1500AMaNG02";"Ornements";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG02";"Être humain";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG03";"Végétation";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG03";"Être humain";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
