lambda_nm;Rnorm_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt2_bruni_verni_tot;DR_eprouvette_2_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;DR_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;Rnorm_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_3_detrempe_pt2_bruni_verni_tot;DR_eprouvette_3_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_5_mixtion_pt1_tot;DR_eprouvette_5_mixtion_pt1_tot;Rnorm_eprouvette_6_coquille_pt1_liant_verni_tot;DR_eprouvette_6_coquille_pt1_liant_verni_tot;Rnorm_eprouvette_6_coquille_pt2_liant_eau_tot;DR_eprouvette_6_coquille_pt2_liant_eau_tot
400;14,9054;0,0117732;11,5925;0,0110088;2,16372;2,8678E-5;2,14919;0,000708598;6,16695;0,00376039;3,98918;0,00258323;4,69994;0,0028824;1,35795;0,00133652;0,696882;0,00131277
400,1;14,905;0,0117732;11,5921;0,0110088;2,16382;2,8678E-5;2,14921;0,000708598;6,16688;0,00376039;3,98921;0,00258323;4,69987;0,0028824;1,35772;0,00133652;0,69688;0,00131277
400,2;14,9047;0,011744;11,5919;0,0109786;2,1639;3,0189E-5;2,14923;0,000717943;6,16683;0,00375467;3,98923;0,00257421;4,69981;0,00287174;1,35756;0,00133773;0,696877;0,00131515
400,3;14,9046;0,0116953;11,5917;0,0109268;2,16396;3,3549E-5;2,14924;0,00073543;6,16681;0,00374579;3,98924;0,00255852;4,69978;0,00285347;1,35745;0,00134051;0,696875;0,00131978
400,4;14,9045;0,0116383;11,5917;0,0108637;2,16399;3,9165E-5;2,14925;0,000759613;6,1668;0,00373685;3,98925;0,00253894;4,69977;0,00283126;1,3574;0,00134526;0,696873;0,00132655
400,5;14,9045;0,0115846;11,5917;0,0107995;2,164;4,7444E-5;2,14925;0,000789047;6,1668;0,00373095;3,98925;0,00251828;4,69977;0,00280877;1,3574;0,00135239;0,696872;0,0013353
400,6;14,9046;0,0115456;11,5917;0,0107447;2,16398;5,8792E-5;2,14925;0,000822287;6,16682;0,00373116;3,98924;0,00249933;4,69979;0,00278965;1,35744;0,00136232;0,696871;0,00134592
400,7;14,9047;0,0115327;11,5919;0,0107095;2,16395;7,3616E-5;2,14924;0,000857888;6,16684;0,00374058;3,98923;0,00248491;4,69982;0,00277756;1,35752;0,00137547;0,696871;0,00135826
400,8;14,9049;0,0115573;11,592;0,0107042;2,16389;9,2322E-5;2,14923;0,000894403;6,16688;0,00376231;3,98922;0,0024778;4,69985;0,00277618;1,35763;0,00139224;0,696873;0,00137218
400,9;14,9052;0,0116308;11,5922;0,0107392;2,16381;0,000115317;2,14921;0,000930389;6,16691;0,00379943;3,9892;0,0024808;4,6999;0,00278915;1,35778;0,00141305;0,696876;0,00138756
